trial,accuracy_cv,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,min_child_weight
75,0.8569518716577541,102,2,0.005983377324047393,0.9504183486798535,0.8652570161571643,7.610145428817547,0.9236225056561075,2
76,0.8569518716577541,194,4,0.002605057415590718,0.8077836799134234,0.8192927162819996,2.8967455138454947,0.2613482764389259,3
77,0.8476185383244207,425,5,0.0017436035805071172,0.8322548438356475,0.8402636798619081,5.736870284732043,0.08708727936487796,1
78,0.844951871657754,214,3,0.004177086451345424,0.611200401418192,0.6704652648729437,3.632537412674285,0.4163397681080315,2
79,0.8312852049910873,161,3,0.00776595801052325,0.8672511342077093,0.794617525961876,0.007001805466787765,0.14029535929627568,5
80,0.8436185383244208,462,4,0.0033548564606441095,0.7614391336199285,0.5508578146220978,0.028786628925178314,5.546280011679011,3
81,0.8569518716577541,368,6,0.0013276266284448371,0.98388091075348,0.5691667967603297,0.008961726218486473,0.03214640628013718,8
82,0.8569518716577541,296,5,0.0011634096052330913,0.9589864767252495,0.594825668521614,0.004604942079106881,0.049857988892826485,7
83,0.8569518716577541,337,5,0.0014821841161736025,0.9420739348919278,0.5246569145381637,0.002390240778721344,0.6630873304561568,8
84,0.8516185383244206,347,5,0.002300854070372276,0.9273165581016969,0.6427591361729941,7.632322678662123,0.0709390533235112,6
85,0.8489518716577539,380,4,0.0018247213360779201,0.9944430642519122,0.5046499595378376,0.009106736163023923,0.16158956347152428,10
86,0.8569518716577541,310,4,0.0010607117103008106,0.9100769641084376,0.8786305624017613,0.022921139886687408,0.013378821550734575,9
87,0.8409518716577541,396,5,0.0016043681537529564,0.7806058197444707,0.9037108061146717,0.013851244774808896,0.027768931353483656,4
88,0.8569518716577541,329,2,0.0013285298370713852,0.9686929637643215,0.8117769272862007,0.05776578462983516,0.13042582213352366,1
89,0.8569518716577541,62,4,0.002040668988821488,0.5673387954786241,0.7689702027798175,4.754623745579935,1.2950159802822598,7
90,0.8222852049910874,252,6,0.01237306151353322,0.7285630957491513,0.7277745644603837,0.0018567511375835396,2.196418213850049,2
91,0.8569518716577541,489,2,0.0011656782718149315,0.7931135883973341,0.8261420786002039,2.256291285136721,0.0030146813300551737,10
92,0.8569518716577541,442,2,0.0010216886565174396,0.8225717130163743,0.8492171100121197,5.416122366684997,0.003931738086299732,9
93,0.8569518716577541,493,2,0.0013390026047415495,0.8097682261272316,0.8496481783576028,6.3584014280613035,0.008165911657876234,10
94,0.8569518716577541,476,2,0.0015593861310677856,0.5181431323376685,0.8690611613350542,8.71006493940271,0.020154537054952848,10
95,0.8569518716577541,50,3,0.0011882032218029828,0.862534412459074,0.9817386312261067,3.8137448516604775,0.0015956701294573626,9
96,0.8144795008912655,92,2,0.2185804514119359,0.8918204938189445,0.7714189081144012,0.6770245004053262,0.09833164185019148,1
97,0.8272852049910874,465,3,0.0028692178554802156,0.7693214426856879,0.9293520042484009,1.4932683739250643,0.004354372194627183,1
98,0.8382852049910874,500,5,0.0018808356242162782,0.7441966449040656,0.8949899099679562,0.09745368873748697,0.05554595511822734,9
99,0.8462852049910874,80,4,0.010596905778149212,0.9825029581175517,0.802799558482951,2.632860950780008,0.17847954630162796,3
