modelo,test_group,true_class,n_samples,accuracy,cenario
LogisticRegression,MNAR_adult_capitalgain,MNAR,50,0.8,C_no_prior
LogisticRegression,MNAR_colic_refluxph,MNAR,50,0.54,C_no_prior
LogisticRegression,MNAR_cylinderbands_varnishpct,MNAR,50,0.52,C_no_prior
LogisticRegression,MNAR_kidney_pot,MNAR,50,0.36,C_no_prior
LogisticRegression,MNAR_kidney_sod,MNAR,50,0.38,C_no_prior
LogisticRegression,MNAR_mroz_wages,MNAR,50,0.44,C_no_prior
LogisticRegression,MNAR_pima_insulin,MNAR,50,0.02,C_no_prior
MLP,MAR_airquality_ozone,MAR,50,0.6,C_no_prior
MLP,MAR_colic_resprate,MAR,50,0.16,C_no_prior
MLP,MAR_hearth_chol,MAR,50,0.38,C_no_prior
MLP,MAR_kidney_hemo,MAR,50,0.24,C_no_prior
MLP,MAR_mammographic_density,MAR,50,0.02,C_no_prior
MLP,MAR_oceanbuoys_airtemp,MAR,50,0.98,C_no_prior
MLP,MAR_oceanbuoys_humidity,MAR,50,0.74,C_no_prior
MLP,MAR_sick_t3,MAR,50,0.08,C_no_prior
MLP,MAR_sick_tsh,MAR,50,0.02,C_no_prior
MLP,MAR_titanic_age,MAR,50,0.96,C_no_prior
MLP,MAR_titanic_age_v2,MAR,50,0.9,C_no_prior
MLP,MCAR_autompg_horsepower,MCAR,37,0.0,C_no_prior
MLP,MCAR_breastcancer_barenuclei,MCAR,45,0.7333333333333333,C_no_prior
MLP,MCAR_cylinderbands_bladepressure,MCAR,50,0.08,C_no_prior
MLP,MCAR_cylinderbands_esavoltage,MCAR,50,0.12,C_no_prior
MLP,MCAR_hypothyroid_t4u,MCAR,50,0.0,C_no_prior
MLP,MNAR_adult_capitalgain,MNAR,50,0.56,C_no_prior
MLP,MNAR_colic_refluxph,MNAR,50,0.32,C_no_prior
MLP,MNAR_cylinderbands_varnishpct,MNAR,50,0.08,C_no_prior
MLP,MNAR_kidney_pot,MNAR,50,0.16,C_no_prior
MLP,MNAR_kidney_sod,MNAR,50,0.52,C_no_prior
MLP,MNAR_mroz_wages,MNAR,50,0.06,C_no_prior
MLP,MNAR_pima_insulin,MNAR,50,0.02,C_no_prior
NaiveBayes,MAR_airquality_ozone,MAR,50,0.66,C_no_prior
NaiveBayes,MAR_colic_resprate,MAR,50,0.06,C_no_prior
NaiveBayes,MAR_hearth_chol,MAR,50,0.44,C_no_prior
NaiveBayes,MAR_kidney_hemo,MAR,50,0.38,C_no_prior
NaiveBayes,MAR_mammographic_density,MAR,50,0.78,C_no_prior
NaiveBayes,MAR_oceanbuoys_airtemp,MAR,50,1.0,C_no_prior
NaiveBayes,MAR_oceanbuoys_humidity,MAR,50,1.0,C_no_prior
NaiveBayes,MAR_sick_t3,MAR,50,0.28,C_no_prior
NaiveBayes,MAR_sick_tsh,MAR,50,0.02,C_no_prior
NaiveBayes,MAR_titanic_age,MAR,50,0.82,C_no_prior
NaiveBayes,MAR_titanic_age_v2,MAR,50,0.62,C_no_prior
NaiveBayes,MCAR_autompg_horsepower,MCAR,37,0.0,C_no_prior
NaiveBayes,MCAR_breastcancer_barenuclei,MCAR,45,0.7111111111111111,C_no_prior
NaiveBayes,MCAR_cylinderbands_bladepressure,MCAR,50,0.04,C_no_prior
NaiveBayes,MCAR_cylinderbands_esavoltage,MCAR,50,0.02,C_no_prior
NaiveBayes,MCAR_hypothyroid_t4u,MCAR,50,0.0,C_no_prior
NaiveBayes,MNAR_adult_capitalgain,MNAR,50,0.9,C_no_prior
NaiveBayes,MNAR_colic_refluxph,MNAR,50,0.5,C_no_prior
NaiveBayes,MNAR_cylinderbands_varnishpct,MNAR,50,0.78,C_no_prior
NaiveBayes,MNAR_kidney_pot,MNAR,50,0.8,C_no_prior
NaiveBayes,MNAR_kidney_sod,MNAR,50,0.64,C_no_prior
NaiveBayes,MNAR_mroz_wages,MNAR,50,0.52,C_no_prior
NaiveBayes,MNAR_pima_insulin,MNAR,50,0.5,C_no_prior
RandomForest,MAR_airquality_ozone,MAR,50,0.62,C_no_prior
RandomForest,MAR_colic_resprate,MAR,50,0.16,C_no_prior
RandomForest,MAR_hearth_chol,MAR,50,0.4,C_no_prior
RandomForest,MAR_kidney_hemo,MAR,50,0.16,C_no_prior
RandomForest,MAR_mammographic_density,MAR,50,0.08,C_no_prior
RandomForest,MAR_oceanbuoys_airtemp,MAR,50,0.98,C_no_prior
RandomForest,MAR_oceanbuoys_humidity,MAR,50,0.78,C_no_prior
RandomForest,MAR_sick_t3,MAR,50,0.04,C_no_prior
